Date,Open,High,Low,Close,Volume
2012.12.7,"25,450","25,950","25,400","25,900","7,130,678"
2012.12.10,"25,850","26,150","25,800","26,000","3,280,121"
2012.12.11,"26,250","26,500","25,900","25,950","4,189,236"
2012.12.12,"26,350","26,500","26,050","26,050","4,902,981"
2012.12.13,"26,200","26,500","25,650","26,250","7,585,467"
2012.12.14,"26,000","26,350","25,850","26,200","3,680,399"
2012.12.17,"26,400","26,800","26,250","26,650","5,228,814"
2012.12.18,"26,900","27,100","26,400","26,500","5,741,215"
2012.12.20,"26,850","26,950","26,150","26,300","4,736,996"
2012.12.21,"26,300","26,450","25,250","25,400","7,103,654"
2012.12.24,"25,400","25,700","25,050","25,150","3,887,250"
2012.12.26,"25,300","25,700","25,300","25,450","3,166,701"
2012.12.27,"25,450","25,800","25,400","25,750","2,010,360"
2012.12.28,"25,750","25,950","25,500","25,750","2,648,924"
2013.1.2,"26,150","26,650","26,100","26,600","5,151,547"
2013.1.3,"26,900","27,100","26,400","26,650","4,587,780"
2013.1.4,"26,800","26,900","26,200","26,350","4,856,327"
2013.1.7,"26,400","26,450","25,650","25,900","4,283,105"
2013.1.8,"26,050","26,550","25,950","26,250","3,468,081"
2013.1.9,"26,500","26,600","25,950","26,050","2,517,811"
2013.1.10,"26,150","26,800","25,850","26,800","4,762,542"
2013.1.11,"27,100","27,250","26,500","27,100","6,269,825"
2013.1.14,"27,250","27,300","26,850","26,950","3,130,049"
2013.1.15,"26,800","27,000","25,800","25,950","6,736,761"
2013.1.16,"26,200","26,700","26,050","26,200","5,723,625"
2013.1.17,"26,350","26,350","25,450","25,900","4,758,701"
2013.1.18,"26,050","26,150","25,500","25,600","5,547,605"
2013.1.21,"25,750","25,850","25,300","25,750","3,295,467"
2013.1.22,"25,500","25,700","24,850","25,050","7,158,297"
2013.1.23,"25,050","25,100","24,600","24,650","6,619,066"
2013.1.24,"24,600","24,650","24,050","24,250","6,007,784"
2013.1.25,"24,300","24,700","23,800","24,200","5,001,969"
2013.1.28,"24,150","24,500","24,000","24,400","2,586,394"
2013.1.29,"24,500","24,550","24,100","24,200","4,408,627"
2013.1.30,"24,650","24,950","24,300","24,350","5,631,792"
2013.1.31,"24,400","24,600","24,200","24,400","4,329,870"
2013.2.1,"24,250","24,450","24,050","24,200","4,025,938"
2013.2.4,"24,500","24,600","24,300","24,300","2,604,422"
2013.2.5,"24,050","24,200","23,600","23,700","4,574,149"
2013.2.6,"23,850","24,650","23,800","24,500","5,764,265"
2013.2.7,"24,650","25,000","24,550","24,850","4,681,401"
2013.2.8,"24,850","25,000","24,550","24,750","3,258,865"
2013.2.12,"24,950","25,300","24,800","25,000","3,432,175"
2013.2.13,"25,250","25,600","25,200","25,500","4,490,716"
2013.2.14,"25,550","25,750","25,350","25,700","2,859,954"
2013.2.15,"25,700","25,750","25,550","25,650","2,277,981"
